full_path,line,fixed_line
Neckarsulm|Heilbronn Hbf|Nordheim Württ|Lauffen Neckar|Kirchheim Neckar|Walheim Württ|Besigheim|Bietigheim Bissingen|Ludwigsburg|Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Nürtingen|Metzingen Württ|Reutlingen Hbf,18,RE18
Heilbronn Hbf|Nordheim Württ|Lauffen Neckar|Kirchheim Neckar|Walheim Württ|Besigheim|Bietigheim Bissingen|Ludwigsburg|Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Oberboihingen|Nürtingen|Bempflingen|Metzingen,18,RE18
Heilbronn Hbf|Nordheim Württ|Lauffen Neckar|Kirchheim Neckar|Walheim Württ|Besigheim|Bietigheim Bissingen|Ludwigsburg|Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Oberboihingen|Nürtingen|Bempflingen|Metzingen Württ|Reutlingen Hbf,18,RE18
Neckarsulm|Heilbronn Sülmertor|Heilbronn Hbf|Nordheim Württ|Lauffen Neckar|Kirchheim Neckar|Walheim Württ|Besigheim|Bietigheim Bissingen|Ludwigsburg|Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Oberboihingen|Nürtingen|Bempflingen|Metzingen,18,RE18
Neckarsulm|Heilbronn Sülmertor|Heilbronn Hbf|Nordheim Württ|Lauffen Neckar|Kirchheim Neckar|Walheim Württ|Besigheim|Bietigheim Bissingen|Ludwigsburg|Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Oberboihingen|Nürtingen|Bempflingen|Metzingen Württ|Reutlingen Hbf,18,RE18
Öhringen Cappel|Öhringen Hbf|Bretzfeld|Willsbach|Weinsberg|Heilbronn Hbf|Nordheim Württ|Lauffen Neckar|Kirchheim Neckar|Walheim Württ|Besigheim|Bietigheim Bissingen|Ludwigsburg|Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Nürtingen|Metzingen,18,RE18
Öhringen Cappel|Öhringen Hbf|Bretzfeld|Willsbach|Weinsberg|Heilbronn Hbf|Nordheim Württ|Lauffen Neckar|Kirchheim Neckar|Walheim Württ|Besigheim|Bietigheim Bissingen|Ludwigsburg|Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Nürtingen|Metzingen Württ|Reutlingen Hbf,18,RE18
Tübingen Hbf|Reutlingen Hbf|Metzingen Württ|Nürtingen|Wendlingen Neckar|Plochingen|Esslingen Neckar|Stuttgart Bad Cannstatt|Stuttgart Hbf|Ludwigsburg|Bietigheim Bissingen|Besigheim|Walheim Württ|Kirchheim Neckar|Lauffen Neckar|Nordheim Württ|Heilbronn Hbf|Heilbronn Sülmertor|Neckarsulm|Bad Friedrichshall Hbf|Untergriesheim|Herbolzheim Jagst|Neudenau|Siglingen|Züttlingen|Möckmühl,18,RE18
Tübingen Hbf|Reutlingen Hbf|Metzingen Württ|Nürtingen|Wendlingen Neckar|Plochingen|Esslingen Neckar|Stuttgart Bad Cannstatt|Stuttgart Hbf|Ludwigsburg|Bietigheim Bissingen|Besigheim|Walheim Württ|Kirchheim Neckar|Lauffen Neckar|Nordheim Württ|Heilbronn Hbf|Heilbronn Sülmertor|Neckarsulm|Neckarsulm Nord|Bad Friedrichshall Hbf|Untergriesheim|Herbolzheim Jagst|Neudenau|Siglingen|Züttlingen|Möckmühl,18,RE18
Tübingen Hbf|Reutlingen Hbf|Metzingen Württ|Bempflingen|Nürtingen|Oberboihingen|Wendlingen Neckar|Plochingen|Esslingen Neckar|Stuttgart Bad Cannstatt|Stuttgart Hbf|Ludwigsburg|Bietigheim Bissingen|Besigheim|Walheim Württ|Kirchheim Neckar|Lauffen Neckar|Nordheim Württ|Heilbronn Hbf|Heilbronn Sülmertor|Neckarsulm|Bad Friedrichshall Hbf|Untergriesheim|Herbolzheim Jagst|Neudenau|Siglingen|Züttlingen|Möckmühl,18,RE18
